Accession	Geo_Location	Country
PV943742	Mexico	Mexico
OP711995	Togo	Togo
OP971042	SouthAfrica	South Africa
LC636307	Japan	Japan
LC636308	Japan	Japan
LC636309	Japan	Japan
LC508989	Japan	Japan
LC508990	Japan	Japan
LC508991	Japan	Japan
LC508992	Japan	Japan
LC508993	Japan	Japan
LC508994	Japan	Japan
LC508995	Japan	Japan
LC508996	Japan	Japan
LC508997	Japan	Japan
LC508998	Japan	Japan
LC508999	Japan	Japan
LC509000	Japan	Japan
LC509001	Japan	Japan
LC509002	Japan	Japan
LC509003	Japan	Japan
LC509004	Japan	Japan
LC509005	Japan	Japan
LC509006	Japan	Japan
MF288652	Netherlands	Netherlands
KX514433	Brazil	Brazil
GQ180784	Thailand	Thailand
GQ180785	Thailand	Thailand
GQ180786	Thailand	Thailand
GQ180787	Thailand	Thailand
GQ180788	Thailand	Thailand
GQ180789	Thailand	Thailand
GQ180790	Thailand	Thailand
GQ180791	Thailand	Thailand
GQ180792	Thailand	Thailand
