Accession	Geo_Location	Country
NC_001357		
PV943742	Mexico	Mexico
PV943743	Mexico	Mexico
PV943744	Mexico	Mexico
PV943745	Mexico	Mexico
PV943746	Mexico	Mexico
PV943747	Mexico	Mexico
PV943748	Mexico	Mexico
PV943749	Mexico	Mexico
PV943750	Mexico	Mexico
PV943751	Mexico	Mexico
PP922121	Mexico	Mexico
PP781981	Mexico	Mexico
PP781982	Mexico	Mexico
PP781983	Mexico	Mexico
PP781984	Mexico	Mexico
PP781985	Mexico	Mexico
PP781986	Mexico	Mexico
PP781987	Mexico	Mexico
PP266440	Mexico	Mexico
PP266441	Mexico	Mexico
PP266442	Mexico	Mexico
PP266443	Mexico	Mexico
PP266444	Mexico	Mexico
PP266445	Mexico	Mexico
PP266446	Mexico	Mexico
PP266447	Mexico	Mexico
PP266448	Mexico	Mexico
OP711995	Togo	Togo
OP712011	Togo	Togo
OP712029	Togo	Togo
OP712070	Togo	Togo
OP712112	Togo	Togo
OP971042	South Africa	South Africa
OP971048	South Africa	South Africa
OP971083	South Africa	South Africa
ON322746	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico
ON322747	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico
ON322748	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico
ON322749	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico
ON322750	Mexico: Laboratorio Estatal de Salud Publica (LESP) Jalisco	Mexico
MW836821	South Africa: Free State	South Africa
LC636307	Japan	Japan
LC636308	Japan	Japan
LC636309	Japan	Japan
LC508989	Japan	Japan
LC508990	Japan	Japan
LC508991	Japan	Japan
LC508992	Japan	Japan
LC508993	Japan	Japan
LC508994	Japan	Japan
LC508995	Japan	Japan
LC508996	Japan	Japan
LC508997	Japan	Japan
LC508998	Japan	Japan
LC508999	Japan	Japan
LC509000	Japan	Japan
LC509001	Japan	Japan
LC509002	Japan	Japan
LC509003	Japan	Japan
LC509004	Japan	Japan
LC509005	Japan	Japan
LC509006	Japan	Japan
MF288652	Netherlands	Netherlands
MF288653	Netherlands	Netherlands
MF288654	Netherlands	Netherlands
MF288655	Netherlands	Netherlands
MF288656	Netherlands	Netherlands
MF288657	Netherlands	Netherlands
MF288658	Netherlands	Netherlands
MF288659	Netherlands	Netherlands
MF288660	Netherlands	Netherlands
MF288661	Netherlands	Netherlands
MF288662	Netherlands	Netherlands
MF288663	Netherlands	Netherlands
MF288664	Netherlands	Netherlands
MF288665	Netherlands	Netherlands
MF288666	Netherlands	Netherlands
MF288667	Netherlands	Netherlands
MF288668	Netherlands	Netherlands
MF288669	Netherlands	Netherlands
MF288670	Netherlands	Netherlands
MF288671	Netherlands	Netherlands
MF288672	Netherlands	Netherlands
MF288673	Netherlands	Netherlands
MF288674	Netherlands	Netherlands
MF288675	Netherlands	Netherlands
MF288676	Netherlands	Netherlands
MF288677	Netherlands	Netherlands
MF288678	Netherlands	Netherlands
MF288679	Netherlands	Netherlands
MF288680	Netherlands	Netherlands
MF288681	Netherlands	Netherlands
MF288682	Netherlands	Netherlands
MF288683	Netherlands	Netherlands
MF288684	Netherlands	Netherlands
MF288685	Netherlands	Netherlands
MF288686	Netherlands	Netherlands
MF288687	Netherlands	Netherlands
MF288688	Netherlands	Netherlands
MF288689	Netherlands	Netherlands
MF288690	Netherlands	Netherlands
MF288691	Netherlands	Netherlands
MF288692	Netherlands	Netherlands
MF288693	Netherlands	Netherlands
MF288694	Netherlands	Netherlands
MF288695	Netherlands	Netherlands
MF288696	Netherlands	Netherlands
MF288697	Netherlands	Netherlands
MF288698	Netherlands	Netherlands
MF288699	Netherlands	Netherlands
MF288700	Netherlands	Netherlands
MF288701	Netherlands	Netherlands
MF288702	Netherlands	Netherlands
MF288703	Netherlands	Netherlands
MF288704	Netherlands	Netherlands
MF288705	Netherlands	Netherlands
MF288706	Netherlands	Netherlands
MF288707	Netherlands	Netherlands
MF288708	Netherlands	Netherlands
MF288709	Netherlands	Netherlands
MF288710	Netherlands	Netherlands
MF288711	Netherlands	Netherlands
MF288712	Netherlands	Netherlands
MF288713	Netherlands	Netherlands
MF288714	Netherlands	Netherlands
MF288715	Netherlands	Netherlands
MF288716	Netherlands	Netherlands
MF288717	Netherlands	Netherlands
MF288718	Netherlands	Netherlands
MF288719	Netherlands	Netherlands
MF288720	Netherlands	Netherlands
MF288721	Netherlands	Netherlands
MF288722	Netherlands	Netherlands
MF288723	Netherlands	Netherlands
MF288724	Netherlands	Netherlands
MF288725	Netherlands	Netherlands
MF288726	Netherlands	Netherlands
MF288727	Netherlands	Netherlands
KX514433	Brazil	Brazil
KU298886	Brazil	Brazil
KC470208		
KC470209		
KC470210		
KC470211		
KC470212		
KC470213		
KC470214		
KC470215		
KC470216		
KC470217		
KC470218		
KC470219		
KC470220		
KC470221		
KC470222		
KC470223		
KC470224		
KC470225		
KC470226		
KC470227		
KC470228		
KC470229		
KC470230		
GQ180784	Thailand	Thailand
GQ180785	Thailand	Thailand
GQ180786	Thailand	Thailand
GQ180787	Thailand	Thailand
GQ180788	Thailand	Thailand
GQ180789	Thailand	Thailand
GQ180790	Thailand	Thailand
GQ180791	Thailand	Thailand
GQ180792	Thailand	Thailand
EF202143		
EF202144		
EF202145		
EF202146		
EF202147		
EF202148		
EF202149		
EF202150		
EF202151		
EF202152		
EF202153		
EF202154		
EF202155		
AY262282		
