Run ID	Sample ID	Homo sapiens (9606)	Bacteria (2)	Archaea (2157)	Phi X-174 (Spike) (10847)	Lentivirus (HIV) (11646)	Papillomaviridae (151340)	Other viruses (10239)
HPV_150123_run01	KHCA-056	837971	340	4	1	0	0	13
HPV_150123_run01	KHCA-073	759042	360	7	0	0	0	25
HPV_150123_run01	KHCA-075	791527	272	1	1	0	8802	32
HPV_150123_run01	KHCA-078	897886	370	4	5	0	2	18
HPV_150123_run01	KHCA-082	1067921	257	9	2	0	0	38
HPV_150123_run01	KHCA-092	782553	2386	9	3	0	0	44
HPV_150123_run01	KHCA-098	747347	100	3	0	0	142	22
HPV_150123_run01	KHCA-100	948592	850	7	0	0	0	36
HPV_150123_run01	KHCA-103	1007111	295	6	1	0	201	89
HPV_150123_run01	KHCA-105	887109	794	7	4	0	12	23
HPV_150123_run01	KHCA-117	799453	4578	6	1	0	0	22
HPV_150123_run01	KHCA-123	886601	787	12	1	0	527	24
HPV_150123_run01	KHCA-133	856815	362	4	1	0	0	21
HPV_150123_run01	KHCA-135	617173	50284	343	1	0	2311	30
HPV_150123_run01	KHCA-136	908149	622	10	2	0	1324	25
HPV_150123_run01	HVP-110	976192	2394	14	3	0	12	24
HPV_150123_run01	Undetermined	187911	64467	832	279953	0	110	45463
HPV_150123_run01	KHCA-025	850121	3809	20	0	0	1	38
HPV_150123_run01	KHCA-029	834607	157	5	1	0	20	46
HPV_150123_run01	KHCA-030	825546	1205	9	1	0	0	15
HPV_150123_run01	KHCA-037	800146	241	5	1	0	23	19
HPV_150123_run01	KHCA-064	739858	180	3	0	0	2619	39
HPV_250523_run02	KHCA116	294318	118	4	8	0	7	3
HPV_250523_run02	KHCA146	820068	305	4	0	0	1	21
HPV_250523_run02	KHCA147	967009	261	5	1	0	0	11
HPV_250523_run02	KHCA148	899685	307	2	0	0	3	13
HPV_250523_run02	KHCA149	881671	152	7	0	0	170	7
HPV_250523_run02	KHCA151	1405533	3329	3	0	0	955	39
HPV_250523_run02	KHCA152	1393083	68	2	0	0	45	20
HPV_250523_run02	KHCA162	773952	193	3	3	0	0	21
HPV_250523_run02	KHCA164	823453	217	2	0	0	68	15
HPV_250523_run02	KHCA166	689870	196	2	0	0	21	4
HPV_250523_run02	KHCA168	1092377	200	4	0	0	11	13
HPV_250523_run02	KHCA169	666768	640	3	1	0	160	13
HPV_250523_run02	KHCA172	746234	190	2	0	0	0	12
HPV_250523_run02	KHCA179	895901	243	4	0	0	273	11
HPV_250523_run02	KHCA181	763008	234	1	1	0	48	41
HPV_250523_run02	KHCA182	858214	345	5	1	0	54	77
HPV_250523_run02	KHCA186	939435	909	2	1	0	195	6
HPV_250523_run02	KHCA191	658972	182	0	0	0	0	221
HPV_250523_run02	KHCA213	495779	103	1	0	0	166	7
HPV_250523_run02	KHCA223	636316	244	5	5	0	73	8
HPV_250523_run02	Ex	865798	6759	89	3	0	1	41
HPV_250523_run02	Undetermined	217722	5133	32	318932	0	81	109
HPV_250523_run02	HPV019	7779	494165	10	1	0	3210	10
HPV_250523_run02	KHCA187	2652556	952	23	0	0	4	44
HPV_250523_run02	KHCA204	397804	180	0	0	0	1	10
HPV_160823_run03	KHCA-229	1025785	308	6	0	0	12	29
HPV_160823_run03	KHCA-230	769183	3754	11	1	0	0	17
HPV_160823_run03	KHCA-232	808053	236	5	1	0	0	12
HPV_160823_run03	KHCA-233	776560	637	5	1	0	3	23
HPV_160823_run03	KHCA-235	962057	286	3	0	0	14	21
HPV_160823_run03	KHCA-236	747269	713	4	0	0	1	10
HPV_160823_run03	KHCA-256	893065	54	1	0	0	19	4
HPV_160823_run03	KHCA-263	721389	563	5	2	0	735	11
HPV_160823_run03	KHCA-268	897754	781	4	0	0	3	16
HPV_160823_run03	KHCA-285	843569	246	9	0	0	3	12
HPV_160823_run03	KHCA-289	869534	733	44	0	0	6465	8
HPV_160823_run03	KHCA-298	930458	1110	5	0	0	790	3
HPV_160823_run03	KHCA-305	865153	579	7	0	0	2	20
HPV_160823_run03	KHCA-306	816690	196	0	0	0	972	6
HPV_160823_run03	KHCA-307	821449	365	5	0	0	0	14
HPV_160823_run03	KHCA-322	830267	297	5	0	0	4	10
HPV_160823_run03	KHCA-323	703151	1018	5	34	0	1	10
HPV_160823_run03	KHCA-328	795553	271	2	17	0	1	18
HPV_160823_run03	KHCA-330	809526	280	5	12	0	336	8
HPV_160823_run03	KHCA-332	545479	56	0	89	0	3	6
HPV_160823_run03	H2O	1045609	473	0	28	0	3	0
HPV_160823_run03	Undetermined	183726	4521	48	254497	0	98	80
HPV_160823_run03	KHCA-255	731434	173	2	1	0	0	11
HPV_160823_run03	KHCA-237	813679	1070	5	0	0	63	12
HPV_160823_run03	HPV019	14121	518217	20	11	0	2631	15
