Run ID	Sample ID	Homo sapiens (9606)	Bacteria (2)	Archaea (2157)	Phi X-174 (Spike) (10847)	Lentivirus (HIV) (11646)	Papillomaviridae (151340)	Other viruses (10239)
HPV_11092024	KHCA-204	840120	1216	7	0	0	1061	464
HPV_11092024	KHCA-229	917654	1084	16	0	0	127946	27288
HPV_11092024	KHCA-078	861707	1593	4	0	0	135	216
HPV_11092024	KHCA-082	1029472	1354	18	0	1	29	96
HPV_11092024	Undetermined	847488	3346	22	76378	0	221736	1780
HPV_11092024	KHCA-328	868294	1561	12	0	0	33	2504
HPV_11092024	KHCA-056	806288	1509	7	0	0	6	31
HPV_11092024	KHCA-213	1519966	1404	7	0	0	169839	92
HPV_11092024	KHCA-092	1896599	1596	9	0	6	40	336
HPV_11092024	KHCA-237	1294410	3685	7	0	0	248486	33
HPV_11092024	KHCA-149	2282294	718	13	0	0	478920	6138
HPV_11092024	KHCA-075	1317559	2058	6	0	0	708929	65
HPV_11092024	KHCA-152	1958495	895	5	0	0	12531	61
HPV_11092024	KHCA-064	1663522	4607	13	0	0	1464974	1028
HPV_11092024	KHCA-306	1516524	1101	7	0	0	1288658	47
HPV_11092024	KHCA-298	1875585	4715	302	0	0	1304537	8794
HPV_11092024	KHCA-186	864045	53017	83	0	0	297348	924
