# run_id	fastq_dir	sample_id	fastq_sample_id
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-025	KHCA-025_S1_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-029	KHCA-029_S2_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-030	KHCA-030_S3_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-037	KHCA-037_S4_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-056	KHCA-056_S5_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-064	KHCA-064_S6_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-073	KHCA-073_S7_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-075	KHCA-075_S8_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-078	KHCA-078_S9_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-082	KHCA-082_S10_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-092	KHCA-092_S11_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-098	KHCA-098_S12_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-100	KHCA-100_S13_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-103	KHCA-103_S14_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-105	KHCA-105_S15_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-117	KHCA-117_S16_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-123	KHCA-123_S17_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-133	KHCA-133_S18_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-135	KHCA-135_S19_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	KHCA-136	KHCA-136_S20_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	HPV-110	HVP-110_S21_L001
01	input/hpv_miseq/HPV_150123_run01/Fastq	Undetermined	Undetermined_S0_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-116	KHCA116_S22_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-146	KHCA146_S4_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-147	KHCA147_S1_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-148	KHCA148_S2_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-149	KHCA149_S3_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-151	KHCA151_S5_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-152	KHCA152_S6_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-162	KHCA162_S7_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-164	KHCA164_S8_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-166	KHCA166_S9_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-168	KHCA168_S10_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-169	KHCA169_S11_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-172	KHCA172_S12_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-179	KHCA179_S13_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-181	KHCA181_S14_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-182	KHCA182_S15_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-186	KHCA186_S16_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-187	KHCA187_S17_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-191	KHCA191_S18_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-204	KHCA204_S19_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-213	KHCA213_S20_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	KHCA-223	KHCA223_S21_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	Ex	Ex_S23_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	HPV-019	HPV019_S24_L001
02	input/hpv_miseq/HPV_250523_run02/Fastq	Undetermined	Undetermined_S0_L001
03	input/hpv_miseq/HPV_160823_run03/Fastq	KHCA-229	KHCA-229_S1_L001
03	input/hpv_miseq/HPV_160823_run03/Fastq	KHCA-230	KHCA-230_S12_L001
03	input/hpv_miseq/HPV_160823_run03/Fastq	KHCA-232	KHCA-232_S2_L001
03	input/hpv_miseq/HPV_160823_run03/Fastq	KHCA-233	KHCA-233_S3_L001
03	input/hpv_miseq/HPV_160823_run03/Fastq	KHCA-235	KHCA-235_S4_L001
