Accession	GenBank_RefSeq	Organism_Name	Species	Genotype	Isolate	GenBank_Title	Length	Nuc_Completeness	Geo_Location	Country	Host	Tissue_Specimen_Source	Submitters	Publications	Collection_Date	Release_Date	Molecule_type
NC_001357	RefSeq	human papillomavirus 18	Alphapapillomavirus 7			Human papillomavirus - 18, complete genome	7857	complete					Cole,S.T., Danos,O.	1		1987-09-19	dsDNA
PV943742	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-251Yuc/Mexico/2022	Human papillomavirus 18 isolate InDRE-251Yuc/Mexico/2022, complete genome	7857	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022	2025-07-23	dsDNA
PV943743	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-24Yuc/Mexico/2022	Human papillomavirus 18 isolate InDRE-24Yuc/Mexico/2022, complete genome	7824	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022	2025-07-23	dsDNA
PV943744	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-59Oax/Mexico/2022	Human papillomavirus 18 isolate InDRE-59Oax/Mexico/2022, complete genome	7824	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022	2025-07-23	dsDNA
PV943745	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-222Mex/Mexico/2022	Human papillomavirus 18 isolate InDRE-222Mex/Mexico/2022, complete genome	7824	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022	2025-07-23	dsDNA
PV943746	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-231Chis/Mexico/2023	Human papillomavirus 18 isolate InDRE-231Chis/Mexico/2023, complete genome	7824	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2025-07-23	dsDNA
PV943747	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-250Yuc/Mexico/2022	Human papillomavirus 18 isolate InDRE-250Yuc/Mexico/2022, complete genome	7824	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022	2025-07-23	dsDNA
PV943748	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-257Chis/Mexico/2023	Human papillomavirus 18 isolate InDRE-257Chis/Mexico/2023, complete genome	7824	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2023	2025-07-23	dsDNA
PV943749	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-99Mex/Mexico/2022	Human papillomavirus 18 isolate InDRE-99Mex/Mexico/2022, complete genome	7844	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022	2025-07-23	dsDNA
PV943750	GenBank	human papillomavirus 18	Alphapapillomavirus 7		InDRE-102Mex/Mexico/2022	Human papillomavirus 18 isolate InDRE-102Mex/Mexico/2022, complete genome	7844	complete	Mexico	Mexico	Homo sapiens	cervix	Rangel-Medrano,D., Fragoso-Fonseca,D.E., Reja-Macouzet,I., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Castro-Escarpulli,G., Escobar-Escamilla,N., Landa-Flores,M.G., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Rodriguez-Maldonado,A.P.		2022	2025-07-23	dsDNA
