Accession	GenBank_RefSeq	Organism_Name	Species	Genotype	Isolate	GenBank_Title	Length	Nuc_Completeness	Geo_Location	Country	Host	Tissue_Specimen_Source	Submitters	Publications	Collection_Date	Release_Date	Molecule_type
NC_001526	RefSeq	Human papillomavirus 16	Alphapapillomavirus 9			Human papillomavirus type 16, complete genome	7906	complete					Kirnbauer,R., Taub,J., Greenstone,H., Roden,R., Durst,M., Gissmann,L., Lowy,D.R., Schiller,J.T., Baker,C.C., Xi,S.Z., Banks,L.M., Kennedy,I.M., Haddow,J.K., Clements,J.B., Parton,A., Romanczuk,H., Thierry,F., Howley,P.M., Bubb,V., McCance,D.J., Schlegel,R., Halbert,C.L., Galloway,D.A., Phelps,W.C., Lindgren,V., Braun,M.J., Gonda,M.A., Matsukura,T., Kanda,T., Furuno,A., Yoshikawa,H., Kawana,T., Yoshiike,K., Seedorf,K., Krammer,G., Suhai,S., Rowekamp,W.G.	10		1993-08-02	dsDNA
PQ720440	GenBank	Human papillomavirus 16	Alphapapillomavirus 9	16	141.16	Human papillomavirus 16 isolate 141.16, complete genome	7906	complete	Brazil	Brazil	Homo sapiens	cervix	de Aquino Firmino,A., Filho,P.R.T.G., Siqueira,J.D., Gois,L.L., Costa,G.C.S., Martins,A.L.L., Drumond,M.L., Soares,M.A., Galvao-Castro,B., da Silva,C.G.R., Grassi,M.F.R., Firmino,A.A.	1	2015	2025-10-26	dsDNA
PX461752	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 2Oax/Mexico/2022	Human papillomavirus 16 isolate InDRE 2Oax/Mexico/2022, complete genome	7906	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
PX461753	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 3Oax/Mexico/2022	Human papillomavirus 16 isolate InDRE 3Oax/Mexico/2022, complete genome	7907	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
PX461754	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 3Yuc/Mexico/2022	Human papillomavirus 16 isolate InDRE 3Yuc/Mexico/2022, complete genome	7908	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
PX461755	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 6Yuc/Mexico/2022	Human papillomavirus 16 isolate InDRE 6Yuc/Mexico/2022, complete genome	7914	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
PX461756	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 8Yuc/Mexico/2022	Human papillomavirus 16 isolate InDRE 8Yuc/Mexico/2022, complete genome	7907	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
PX461757	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 19Mex/Mexico/2022	Human papillomavirus 16 isolate InDRE 19Mex/Mexico/2022, complete genome	7907	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
PX461758	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 30Tam/Mexico/2022	Human papillomavirus 16 isolate InDRE 30Tam/Mexico/2022, complete genome	7907	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
PX461759	GenBank	Human papillomavirus 16	Alphapapillomavirus 9		InDRE 34Mor/Mexico/2022	Human papillomavirus 16 isolate InDRE 34Mor/Mexico/2022, complete genome	7918	complete	Mexico	Mexico	Homo sapiens	cervix	Rodriguez-Hernandez,E.L., Fragoso-Fonseca,D.E., Esteban-Valencia,Md.C., Andrade-Montiel,E., Wong-Arambula,C.E., Hernandez-Rivas,L., Escobar-Escamilla,N., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Landa-Flores,M.G.		2022	2025-10-22	dsDNA
